               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11679,            0.018448,                   0,             0.21018,              0.1494,            0.081402,             0.02563,            0.095477,            0.013368,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.093605,            0.019399,                   0,             0.46721,              0.2747,             0.24516,             0.07979,            0.078326,            0.014429,                   0,            0.040861,            0.006547,            0.006547
                   2,            0.086131,            0.017278,                   0,             0.23973,             0.18313,            0.095775,            0.030675,              0.0854,            0.011851,                   0,            0.010817,           0.0098366,           0.0098366
                   3,            0.081259,            0.016474,                   0,              0.3564,             0.21446,             0.15585,            0.036855,            0.080757,            0.013278,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.078126,            0.016042,                   0,             0.55567,             0.24096,             0.24395,            0.073805,            0.074852,            0.010551,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.076593,            0.015614,                   0,             0.53531,             0.25815,             0.26188,            0.087639,            0.078689,            0.009799,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.073365,            0.015593,                   0,             0.63684,             0.30846,             0.33314,             0.12965,            0.066955,            0.009047,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.07266,            0.015803,                   0,             0.64022,             0.32771,             0.33754,             0.13999,            0.064596,           0.0098791,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.07285,            0.015132,                   0,             0.63286,              0.2988,             0.33357,             0.14441,            0.062921,            0.010628,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.069854,            0.015357,                   0,             0.62616,             0.38072,             0.40313,             0.19555,            0.056117,           0.0086467,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.069868,            0.014832,                   0,             0.61898,             0.39518,             0.40624,             0.19541,            0.057259,           0.0082247,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.06914,            0.014687,                   0,             0.63432,             0.29398,              0.3125,             0.13737,            0.065338,           0.0089498,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.067418,            0.014987,                   0,             0.58946,             0.33735,              0.3523,             0.15657,            0.061723,           0.0086377,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.067668,            0.014666,                   0,              0.7174,             0.31197,             0.35894,             0.19053,            0.056446,           0.0083799,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.066302,            0.014731,                   0,              0.6396,             0.37633,             0.40166,             0.20267,             0.05728,            0.008894,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.065092,            0.014461,                   0,             0.72123,             0.31566,             0.34764,             0.16862,            0.061299,            0.008527,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.064292,            0.014411,                   0,              0.6646,             0.31807,             0.37026,             0.16921,            0.060821,           0.0086427,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.06375,            0.014132,                   0,             0.76585,             0.34699,             0.41031,             0.21023,            0.057819,           0.0081804,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.063419,            0.014247,                   0,             0.59105,             0.36145,             0.35831,             0.15432,            0.060169,           0.0089235,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.063182,            0.014058,                   0,             0.61001,             0.38313,             0.40887,             0.18715,            0.060617,           0.0090814,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.062341,            0.014217,                   0,             0.66498,             0.29398,             0.30579,             0.13682,            0.064113,            0.010034,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.063309,            0.013828,                   0,             0.61014,             0.35422,             0.38541,             0.18312,            0.062403,           0.0095799,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.062423,             0.01389,                   0,              0.6821,             0.35663,             0.38923,             0.18412,            0.057698,           0.0086193,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.062146,            0.014045,                   0,             0.70537,             0.37498,             0.42025,             0.20587,            0.056118,           0.0086527,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.060565,            0.013732,                   0,             0.66521,                 0.4,             0.43114,             0.20979,            0.055301,           0.0080597,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.061987,            0.013198,                   0,              0.6321,              0.3759,             0.40166,              0.1948,            0.055829,           0.0089486,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.059948,            0.014503,                   0,             0.57717,             0.39518,             0.42482,             0.20073,            0.056213,           0.0091083,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.059642,            0.013589,                   0,              0.7086,             0.35181,             0.40046,             0.19703,            0.059244,           0.0091705,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.059729,            0.013691,                   0,             0.67599,             0.29661,             0.34131,             0.17458,            0.068669,            0.011219,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.059067,            0.013383,                   0,             0.68843,             0.33012,             0.38337,             0.19009,            0.057432,           0.0082481,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.059224,            0.013372,                   0,             0.71001,             0.39036,             0.43016,             0.21147,             0.05701,           0.0086551,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.059008,            0.013002,                   0,             0.60032,             0.38554,             0.42615,             0.21594,            0.058358,           0.0092521,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.058432,             0.01328,                   0,             0.62633,             0.37108,              0.3993,             0.21817,            0.057169,           0.0089083,                   0,            0.008977,            0.008977,            0.008977
